2023-09-22 10:08:00.462 | INFO     | imagelive.management.commands.camera_recognize_background:background_process:202 - Connected to the camera.
2023-09-22 10:08:07.406 | INFO     | imagelive.management.commands.camera_recognize_background:background_process:202 - Connected to the camera.
2023-09-22 10:08:36.640 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:08:51.444 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:08:51.448 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:09:11.822 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/5ea79e57-2838-4215-adee-5945f5f103a5.jpg
2023-09-22 10:09:12.010 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:101 - Face ID 1 is verified as a new person.
2023-09-22 10:09:12.028 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/66c818fe-5edf-4bd0-8ae5-a991fedd860a.jpg
2023-09-22 10:09:12.155 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:101 - Face ID 1 is verified as a new person.
2023-09-22 10:09:12.498 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/4d8c35b9-5524-4c9a-a427-c9badf9a3742.jpg
2023-09-22 10:09:12.529 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/d34afdf3-1d3d-424d-8a5b-1acb88549775.jpg
2023-09-22 10:09:21.253 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:101 - Face ID 2 is verified as a new person.
2023-09-22 10:09:21.701 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/06b7809d-015e-4f63-9cbb-a5e034778f2f.jpg
2023-09-22 10:09:22.375 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:09:22.799 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/7bb6c254-972f-42f2-9aa1-13f2443437d7.jpg
2023-09-22 10:09:30.692 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:09:31.069 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/3885838f-7c4f-488c-8d02-cc9d098f2858.jpg
2023-09-22 10:09:34.434 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:101 - Face ID 2 is verified as a new person.
2023-09-22 10:09:34.853 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/074f956f-0897-4176-8455-a8c4f625230e.jpg
2023-09-22 10:09:42.586 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:09:42.986 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/98222788-5b4b-497b-9abb-ec0b1ede3136.jpg
2023-09-22 10:09:45.417 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 2 is verified as the same person.
2023-09-22 10:09:45.829 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/1a0f019d-09ce-4f1b-87eb-cbf31339093e.jpg
2023-09-22 10:09:58.427 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 2 is verified as the same person.
2023-09-22 10:09:59.964 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 2 is verified as the same person.
2023-09-22 10:10:29.868 | INFO     | imagelive.management.commands.camera_recognize_background:background_process:202 - Connected to the camera.
2023-09-22 10:10:36.914 | INFO     | imagelive.management.commands.camera_recognize_background:background_process:202 - Connected to the camera.
2023-09-22 10:11:08.236 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/cd5d1676-d102-4cc9-bab5-375727d9c8f2.jpg
2023-09-22 10:11:24.027 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:11:24.438 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/9778aa8a-0aa6-4ec3-8a3c-311b44727202.jpg
2023-09-22 10:11:42.231 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:11:42.698 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/3ed93ecf-e9f6-4d10-921e-9200b5a927a3.jpg
2023-09-22 10:12:02.523 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:12:02.993 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/b9d3645c-5017-44a9-aa2b-7637505da731.jpg
2023-09-22 10:12:03.080 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/dac02ae5-0178-4603-b2d3-bc338e5a87d5.jpg
2023-09-22 10:12:18.519 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
