,23a6ea32-8b6e-4cc3-8723-8d655d5e92ad.jpg,1ecc1c96-c2f7-41ba-987a-818a42ffc3c3.jpg,17e10f26-ef72-404c-b6ff-194d57e568e7.jpg,f335f6fe-c472-4723-808c-127c61a35aeb.jpg,5517a7c2-e65a-4697-8dd3-e393165b17ee.jpg,70f30b74-af86-45f8-a90a-d405e40e2cba.jpg,fc59a993-6eed-4bcd-9a7e-61a073facbb6.jpg,6a4b2292-a315-438c-89f2-ce933a4baa54.jpg,de9cb689-5a04-417e-8c95-7118b79ef1be.jpg,661d4f36-bc4e-4422-acb7-da1ef2a63708.jpg,770d5996-77b6-4696-b55d-3b2b8addc59a.jpg,016d2874-6823-43c8-b409-89fecf86b73e.jpg,40be510e-3ee2-43d4-b548-8b41cc312455.jpg,bdb2cd58-f70a-4153-895a-477b90d458d3.jpg,8a9a8fee-d4eb-4b93-92c3-c9ea3dae6d45.jpg,36f6c095-d5a2-4d4c-b15b-9cbe3ad3b23b.jpg,a0263fa8-7c65-424b-bdfe-7fad677ad21f.jpg,1e681c92-81a2-4262-af14-77f96e35c051.jpg,eb0f6f71-32fd-445b-b616-42742ab0488b.jpg,f329db36-f4ac-4cfa-911c-53f818dcba7a.jpg,166a12d8-6d5a-498c-97f4-d372f5487947.jpg,3d485e36-d9c0-4968-a5ed-68b4a9bc3d10.jpg,160c0b01-85e3-4115-b70a-2fa1bdc189de.jpg
23a6ea32-8b6e-4cc3-8723-8d655d5e92ad.jpg,,0.24,0.48,0.35,0.32,0.96,1.27,1.32,0.06,1.0,1.25,1.02,0.97,1.04,,1.12,1.3,1.06,1.02,1.28,0.81,1.25,1.23
1ecc1c96-c2f7-41ba-987a-818a42ffc3c3.jpg,0.24,,0.43,0.3,0.36,0.96,1.28,1.32,0.23,0.94,1.21,1.03,0.97,1.06,0.2,1.13,1.31,1.07,1.04,1.28,0.71,1.26,1.24
17e10f26-ef72-404c-b6ff-194d57e568e7.jpg,0.48,0.43,,0.31,0.52,0.95,1.26,1.28,0.47,0.78,1.05,1.02,0.94,1.04,0.48,1.06,1.28,1.02,1.03,1.24,0.64,1.22,1.21
f335f6fe-c472-4723-808c-127c61a35aeb.jpg,0.35,0.3,0.31,,0.41,0.95,1.24,1.26,0.35,0.86,1.1,1.01,0.94,1.03,0.34,1.09,1.28,1.05,1.02,1.24,0.68,1.22,1.2
5517a7c2-e65a-4697-8dd3-e393165b17ee.jpg,0.32,0.36,0.52,0.41,,0.94,1.23,1.26,0.32,0.99,1.22,0.98,0.96,1.03,0.32,1.1,1.25,1.02,1.01,1.24,0.82,1.22,1.2
70f30b74-af86-45f8-a90a-d405e40e2cba.jpg,0.96,0.96,0.95,0.95,0.94,,0.8,0.83,0.96,1.09,1.21,0.37,0.49,0.47,0.97,0.61,0.75,0.48,0.49,0.63,1.02,0.75,0.66
fc59a993-6eed-4bcd-9a7e-61a073facbb6.jpg,1.27,1.28,1.26,1.24,1.23,0.8,,0.46,1.27,1.25,1.3,0.78,0.84,0.78,1.28,0.88,0.58,0.78,0.73,0.73,1.27,0.7,0.6
6a4b2292-a315-438c-89f2-ce933a4baa54.jpg,1.32,1.32,1.28,1.26,1.26,0.83,0.46,,1.32,1.27,1.27,0.85,0.92,0.81,1.33,0.95,0.69,0.84,0.76,0.73,1.29,0.83,0.69
de9cb689-5a04-417e-8c95-7118b79ef1be.jpg,0.06,0.23,0.47,0.35,0.32,0.96,1.27,1.32,,1.0,1.25,1.02,0.97,1.04,0.17,1.12,1.3,1.06,1.02,1.28,0.81,1.25,1.23
661d4f36-bc4e-4422-acb7-da1ef2a63708.jpg,1.0,0.94,0.78,0.86,0.99,1.09,1.25,1.27,1.0,,0.74,1.13,1.07,1.11,1.0,1.09,1.29,1.07,1.1,1.23,0.62,1.24,1.23
